Code,Paper Name,Credits
CIE-358T,Human Computer Interface,3
CIE-358P,Human Computer Interface Lab,1
CIE-372T,Software Requirements and Estimation,3
CIE-372P,Software Requirements and Estimation Lab,1
CIE-411T,Computer Graphics and Multimedia Technologies,3
CIE-411P,Computer Graphics and Multimedia Technologies Lab,1
CIE-423T,Data Visualization,3
CIE-423P,Data Visualization Lab,1
CIE-318T,Network Security and Cryptography,3
CIE-318P,Network Security and Cryptography Lab,1
CIE-326T,VHDL Programming,3
CIE-326P,VHDL Programming Lab,1
CIE-342T,Multimedia Technologies,3
CIE-342P,Multimedia Technologies Lab,1
CIE-350,Windows System Administration,4
CIE-362T,Linux System Administration,3
CIE-362P,Linux System Administration Lab,1
CIE-364T,Microprocessors and Interfacing,3
CIE-364P,Microprocessors and Interfacing Lab,1
CIE-429T,Web Intelligence and Big Data Analytics,3
CIE-429P,Web Intelligence and Big Data Analytics Lab,1
ECC-205,Signals and Systems,3
ECC-209,Analog Communications,4
ECC-211,Analog Electronics I,4
ECC-255,Analog Communications Lab,1
ECC-257,Analog Electronics I Lab,1
ECC-259,Signals and Systems Lab,1
EEC-206,Network Analysis and Synthesis,3
EEC-210,Microprocessors and Microcontrollers,3
EEC-212,Digital Communications,3
EEC-214,Analog Electronics II,3
EEC-216,Electromagnetic Field Theory,3
EEC-256,Microprocessors and Microcontrollers Lab,1
EEC-258,Digital Communications Lab,1
EEC-260,Analog Electronics II Lab,1
EEC-262,Network Analysis and Synthesis Lab,1
ECC-303,Digital Signal Processing,4
ECC-305,Microelectronics,3
EEC-307,Introduction to Control Systems,3
ECC-309,"Transmission Lines, Waveguides and Antenna Design",4
ECC-311,Data Communication and Networking,4
ECC-351,Digital Signal Processing Lab,1
ECC-353,Microelectronics Lab,1
ECC-355,Introduction to Control Systems Lab,1
ECC-357,"Transmission Lines, Waveguides and Antenna Design Lab",1
ECC-359,Data Communication and Networking Lab,1
EAE-1 / OAE-1,Emerging Area or Open Area Elective Paper 1,4
EAE-2 / OAE-2,Emerging Area or Open Area Elective Paper 2,4
EAE-3 / OAE-3,Emerging Area or Open Area Elective Paper 3,4
EAE-4 / OAE-4,Emerging Area or Open Area Elective Paper 4,4
EAE-5 / OAE-5,Emerging Area or Open Area Elective Paper 5,4
ECE-306T,VHDL Programming,3
ECE-306P,VHDL Programming Lab,1
ECE-308T,Digital Image Processing,3
ECE-308P,Digital Image Processing Lab,1
ECE-310,Mobile Communication,4
ECE-312T,Advanced Microprocessors and Microcontroller,3
ECE-312P,Advanced Microprocessors and Microcontroller Lab,1
ECE-314T,RF and Microwave Engineering,3
ECE-314P,RF and Microwave Engineering Lab,1
ECE-316T,Mobile Computing,3
ECE-316P,Mobile Computing Lab,1
ECE-318T,Artificial Intelligence,3
ECE-318P,Artificial Intelligence Lab,1
ECE-320T,Electronic Measurements,3
ECE-320P,Electronic Measurements Lab,1
ECE-322T,Fabrication Technology,3
ECE-322P,Fabrication Technology Lab,1
ECE-324,Multimedia Communication,4
ECE-326T,Optical Communication Systems and Networks,3
ECE-326P,Optical Communication Systems and Networks Lab,1
ECE-328,Advanced Computer Architecture,4
ECE-330T,Antenna Design and Radiating Systems,3
ECE-330P,Antenna Design and Radiating Systems Lab,1
ECE-332,Introduction to Information and Coding Theory,4
ECE-334T,Random Processes and Stochastic Systems,3
ECE-334P,Random Processes and Stochastic Systems Lab,1
ECE-336T,Radio and Television Engineering,3
ECE-336P,Radio and Television Engineering Lab,1
ECE-338T,CMOS Analog Integrated Circuit Design,3
ECE-338P,CMOS Analog Integrated Circuit Design Lab,1
ECE-340T,Wavelets,3
ECE-340P,Wavelets Lab,1
ECE-342T,Wireless Sensor Networks,3
ECE-342P,Wireless Sensor Networks Lab,1
ECE-344T,Embedded System Architecture and Design,3
ECE-344P,Embedded System Architecture and Design Lab,1
ECE-346,Solid State Microwave Device and their Application,4
ECE-348,Radar and Satellite Communications,4
ECE-350T,Machine Learning,3
ECE-350P,Machine Learning Lab,1
ECE-354T,Introduction to Power Electronics,3
ECE-354P,Introduction to Power Electronics Lab,1
ECE-403T,RF Components and Circuit Design,3
ECE-403P,RF Components and Circuit Design Lab,1
ECE-405T,Pattern Recognition,3
ECE-405P,Pattern Recognition Lab,1
ECE-407,Next Generation Networks,4
ECE-409T,Micro Electromechanical Systems (MEMS) and Sensors,3
ECE-409P,Micro Electromechanical Systems (MEMS) and Sensors Lab,1
ECE-411T,Fuzzy Logic and Neural Networks,3
ECE-411P,Fuzzy Logic and Neural Networks Lab,1
ECE-413T,Ad hoc and Sensor Networks,3
ECE-413P,Ad hoc and Sensor Networks Lab,1
ECE-415,Engineering Optimization,4
ECE-417T,Optoelectronics Devices,3
ECE-417P,Optoelectronics Devices Lab,1
ECE-435T,Logic Design and Analysis using Verilog,3
ECE-435P,Logic Design and Analysis using Verilog Lab,1
ECE-419T,Low Power VLSI Design,3
ECE-419P,Low Power VLSI Design Lab,1
ECE-421T,"Medical Image Processing, Analysis and Reconstruction",3
ECE-421P,"Medical Image Processing, Analysis and Reconstruction Lab",1
ECE-423T,Network Security and Cryptography,3
ECE-423P,Network Security and Cryptography Lab,1
ECE-425,Real Time Operating Systems,4
ECE-427T,Smart Antennas,3
ECE-427P,Smart Antennas Lab,1
ECE-429T,Introduction to Internet of Things,3
ECE-429P,Introduction to Internet of Things Lab,1
ECE-431T,Nature Inspired Biological Optimization Techniques,3
ECE-431P,Nature Inspired Biological Optimization Techniques Lab,1
ECE-433,Introduction to Robotics Engineering,4
ECC-209,Electrical Materials,3
ECC-211,Electrical Machines I,4
ECC-213,Electromagnetic Field Theory,3
ECC-215,Electronics I,3
ECC-257,Electrical Machines I Lab,1
ECC-259,Electrical Engineering Workshop,1
ECC-261,Electronics I Lab,1
EEC-210,Electrical Machines II,4
EEC-212,Power Systems I,4
EEC-218,Electronics II,4
EEC-256,Electrical Machines II Lab,1
EEC-260,Power Systems I Lab,1
EEC-264,Electronics II Lab,1
ECC-303,Power Systems II,4
EEC-305,Electrical and Electronics Measuring Instruments,4
EEC-309,Power Electronics,4
ECC-313,Microprocessors and Microcontrollers,3
ECC-351,Power Systems II Lab,1
ECC-353,Electrical and Electronics Measuring Instruments Lab,1
ECC-357,Power Electronics Lab,1
ECC-363,Microprocessors and Microcontrollers Lab,1
EEE-308,Artificial Intelligence and Machine Learning for Electrical Systems,4
EEE-310T,Bio Medical Instrumentation,3
EEE-310P,Bio Medical Instrumentation Lab,1
EEE-312T,Introduction to Digital Signal Processing,3
EEE-312P,Introduction to Digital Signal Processing Lab,1
EEE-318,Stochastic Processes and Systems,4
EEE-320T,Utilization of Electrical Energy,3
EEE-320P,Utilization of Electrical Energy Lab,1
EEE-358,Electrical Power Generation Systems,4
EEE-322T,Computer Aided Electrical Machine Design,3
EEE-322P,Computer Aided Electrical Machine Design Lab,1
EEE-324T,Introduction to Data Communication and Networking,3
EEE-324P,Introduction to Data Communication and Networking Lab,1
EEE-326T,Discrete Control Systems,3
EEE-326P,Discrete Control Systems Lab,1
EEE-334T,Research Methodology for Electrical and Electronics Engineering,3
EEE-334P,Research Methodology for Electrical and Electronics Engineering Lab,1
EEE-336T,"Introduction to Transmission Lines, Waveguides and Antenna Design",3
EEE-336P,"Introduction to Transmission Lines, Waveguides and Antenna Design Lab",1
EEE-340T,Electric Drives,3
EEE-340P,Electric Drives Lab,1
EEE-356T,Optimization using Controllers,3
EEE-356P,Optimization using Controllers Lab,1
EEE-360,Process Control,4
EEE-362T,VLSI,3
EEE-362P,VLSI Lab,1
EEE-364T,Systems Design and Simulation,3
EEE-364P,Systems Design and Simulation Lab,1
EEE-366,Introduction to Information and Coding Theory,4
EEE-403,Electricity Distribution Schemes and Policies,4
EEE-405T,Mathematical Analysis of Complex Systems,3
EEE-405P,Mathematical Analysis of Complex Systems Lab,1
EEE-407,Renewable Energy and Policies,4
EEE-409T,Solid State Drives,3
EEE-409P,Solid State Drives Lab,1
EEE-411T,Switchgear and Protection,3
EEE-411P,Switchgear and Protection Lab,1
EEE-413T,Digital Image Processing,3
EEE-413P,Digital Image Processing Lab,1
EEE-421T,e Mobility,3
EEE-421P,e Mobility Lab,1
EEE-423,Energy Conservation Schemes,4
EEE-425,Energy Economics and Policies,4
EEE-427,High Voltage Engineering,4
EEE-429T,Mathematical Model for Reliability of Transmission and Distribution,3
EEE-429P,Mathematical Model for Reliability of Transmission and Distribution Lab,1
EEE-431,Smart Grid and Distributed Generation,4
EEE-433T,Systems Restructuring for Optimization,3
EEE-433P,Systems Restructuring for Optimization Lab,1
EEC-209,Electrical Materials,3
EEC-211,Electrical Machines I,4
EEC-257,Electrical Machines I Lab,1
EEC-259,Electrical Engineering Workshop,1
ECC-218,Electronics II,4
ECC-264,Electronics II Lab,1
EEC-303,Power Systems II,4
EEC-351,Power Systems II Lab,1
EEC-353,Electrical and Electronics Measuring Instruments Lab,1
EEC-355,Introduction to Control Systems Lab,1
EEC-357,Power Electronics Lab,1
EEE-306T,Analog and Digital Communications,3
EEE-306P,Analog and Digital Communications Lab,1
EEE-314,Powerline Carrier Communication,4
EEE-330,Nano Electronics,4
EEE-332,Opto Electronics,4
EEE-338T,Digital Systems Design,3
EEE-338P,Digital Systems Design Lab,1
EEE-354,Electrical Power Generation Systems,4
EEE-415T,Wireless Sensor Networks,3
EEE-415P,Wireless Sensor Networks Lab,1
EEE-417T,Advanced Semiconductor Devices,3
EEE-417P,Advanced Semiconductor Devices Lab,1
EEE-419T,Communication Systems Analysis,3
EEE-419P,Communication Systems Analysis Lab,1
MEC-205,Theory of Machines,4
MEC-207,Strength of Materials,4
MEC-209,Manufacturing Science and Technology I,4
MEC-211,Thermal Engineering I,4
MEC-253,Theory of Machines Lab,1
MEC-255,Strength of Materials Lab,1
MEC-257,Thermal Engineering I Lab,1
MEC-259,Manufacturing Science and Technology I Lab,1
MEC-206,Manufacturing Science and Technology II,4
MEC-208,Material Science and Metallurgy,4
MEC-210,Thermal Engineering II,4
MEC-212,Machine Design I,4
MEC-254,Manufacturing Science and Technology II Lab,1
MEC-256,Thermal Engineering II Lab,1
MEC-258,Machine Design I Lab,1
MEC-303,Machine Design II,3
MEC-305,Fluid Mechanics and Hydraulic Machines,4
MEC-307,Metrology and Instrumentation,3
MEC-309,Industrial Engineering,4
MEC-311,Heat and Mass Transfer,4
MEC-351,Machine Design II Lab,1
MEC-353,Fluid Mechanics and Hydraulic Machines Lab,1
MEC-355,Metrology and Instrumentation Lab,1
MEC-357,Heat and Mass Transfer Lab,1
MEE-306T,Automobile Engineering and Electric Vehicles,3
MEE-306P,Automobile Engineering and Electric Vehicles Lab,1
MEE-308T,Turbomachines,3
MEE-308P,Turbomachines Lab,1
MEE-310T,Finite Element Methods,3
MEE-310P,Finite Element Methods Lab,1
MEE-312T,IC Engines and Gas Turbines,3
MEE-312P,IC Engines and Gas Turbines Lab,1
MEE-314T,Gas Dynamics and Jet Propulsion,3
MEE-314P,Gas Dynamics and Jet Propulsion Lab,1
MEE-316T,Refrigeration and Air Conditioning,3
MEE-316P,Refrigeration and Air Conditioning Lab,1
MEE-318T,Power Plant Engineering,3
MEE-318P,Power Plant Engineering Lab,1
MEE-320T,Mechanical Vibrations,3
MEE-320P,Mechanical Vibrations Lab,1
MEE-322T,Reliability and Maintenance Engineering,3
MEE-322P,Reliability and Maintenance Engineering Lab,1
MEE-324T,Advanced Machine Design,3
MEE-324P,Advanced Machine Design Lab,1
MEE-326T,Introduction to CAD CAM,3
MEE-326P,Introduction to CAD CAM Lab,1
MEE-328T,Robotics Engineering,3
MEE-328P,Robotics Engineering Lab,1
MEE-330T,Advanced Material Science and Metallurgy,3
MEE-330P,Advanced Material Science and Metallurgy Lab,1
MEE-332T,Metal Forming and Press Working,3
MEE-332P,Metal Forming and Press Working Lab,1
MEE-334T,Advances in Welding and Casting,3
MEE-334P,Advances in Welding and Casting Lab,1
MEE-336T,System Modeling Simulation and Analysis,3
MEE-336P,System Modeling Simulation and Analysis Lab,1
MEE-338T,Elastic and Plastic Behaviour of Materials,3
MEE-338P,Elastic and Plastic Behaviour of Materials Lab,1
MEE-403T,Geometric Modelling and Analysis,3
MEE-403P,Geometric Modelling and Analysis Lab,1
MEE-405T,Computer Integrated Manufacturing,3
MEE-405P,Computer Integrated Manufacturing Lab,1
MEE-407T,Control Systems and Applications,3
MEE-407P,Control Systems and Applications Lab,1
MEE-409T,Rapid Prototyping Tooling and Manufacturing,3
MEE-409P,Rapid Prototyping Tooling and Manufacturing Lab,1
MEE-411T,Automation in Manufacturing,3
MEE-411P,Automation in Manufacturing Lab,1
MEE-413T,Strength of Materials II,3
MEE-413P,Strength of Materials II Lab,1
MEE-415T,Design of Mechanical Drives,3
MEE-415P,Design of Mechanical Drives Lab,1
MEE-417T,Design of Experiments,3
MEE-417P,Design of Experiments Lab,1
MEE-419T,Advance Metal Cutting and Tool Design,3
MEE-419P,Advance Metal Cutting and Tool Design Lab,1
MEE-421T,Design of Mechanical Assemblies,3
MEE-421P,Design of Mechanical Assemblies Lab,1
MEE-423T,Non Traditional Manufacturing,3
MEE-423P,Non Traditional Manufacturing Lab,1
CEC-205,Structural Analysis I,4
CEC-207,Structural Design I,4
CEC-209,Fluid Mechanics,4
CEC-211,Geomatics Engineering,4
CEC-253,Civil Engineering Drawing Lab,1
CEC-255,Fluid Mechanics Lab,1
CEC-257,Geomatics Engineering Lab,1
CEC-206,Soil Mechanics,4
CEC-208,Hydraulics and Hydrology,4
CEC-210,Environmental Engineering I,4
CEC-212,Transportation Engineering,4
CEC-254,Soil Mechanics Lab,1
CEC-256,Hydraulics Lab,1
CEC-258,Transportation Engineering Lab,1
CEC-303,Structural Analysis II,4
CEC-305,Structural Design II,3
CEC-307,Geotechnical Engineering,4
CEC-309,Environmental Engineering II,4
CEC-311,Traffic Engineering and Pavement Design,4
CEC-351,Structural Design Lab,1
CEC-353,Building Material and Concrete Testing Lab,1
CEC-355,Geotechnical Engineering Lab,1
CEC-357,Environmental Engineering Lab,1
CEE-306,Advanced Structural Analysis,4
CEE-308,Irrigation Engineering and Design of Hydraulic Structures,4
CEE-310,Environmental Impact Assessment,4
CEE-312T,Advanced Structural Design,3
CEE-312P,Advanced Structural Design Lab,1
CEE-314,Water Resource Planning,4
CEE-316,Pollution Control and Monitoring,4
CEE-318T,Non Destructive Evaluation of Structures,3
CEE-318P,Non Destructive Evaluation of Structures Lab,1
CEE-320,Open Channel Flow and Sediment Transportation,4
CEE-322,Disaster Management,4
CEE-403,Recent Construction Technologies,4
CEE-405T,Arc GIS and Remote Sensing,3
CEE-405P,Arc GIS and Remote Sensing Lab,1
CEE-407T,Transport Planning and Intelligent Transportation System,3
CEE-407P,Transport Planning and Intelligent Transportation System Lab,1
CEE-409,Structural Dynamics,4
CEE-411,Lean Construction Technology and Management,4
CEE-413T,Advanced Surveying,3
CEE-413P,Advanced Surveying Lab,1
AI-302T,Artificial Intelligence,3
AI-302P,Artificial Intelligence Lab,1
DA-304T,"Statistics, Statistical Modelling & Data Analytics",3
DA-304P,"Statistics, Statistical Modelling & Data Analytics Lab",1
SC-401T,Soft Computing,3
SC-401P,Soft Computing Lab,1
AI-403T,Artificial Intelligence Applications,3
AI-403P,Artificial Intelligence Applications Lab,1
AI-405T,Intelligent and Expert Systems,3
AI-405P,Intelligent and Expert Systems Lab,1
ML-407T,Machine Learning,3
ML-407P,Machine Learning Lab,1
ML-409T,Reinforcement Learning and Deep Learning,3
ML-409P,Reinforcement Learning and Deep Learning Lab,1
ML-411T,Pattern Recognition and Computer Vision,3
ML-411P,Pattern Recognition and Computer Vision Lab,1
AI-316T,Artificial Intelligence and Machine Learning,3
AI-316P,Artificial Intelligence and Machine Learning Lab,1
DS-427T,Data Science using R,3
DS-427P,Data Science using R Lab,1
DS-429T,Big Data Analytics,3
DS-429P,Big Data Analytics Lab,1
DS-431T,Business Intelligence,3
DS-431P,Business Intelligence Lab,1
DS-433T,Exploratory Data Analytics and Data Visualization,3
DS-433P,Exploratory Data Analytics and Data Visualization Lab,1
CS-306T,Mathematics of Modern Cryptography,3
CS-306P,Mathematics of Modern Cryptography Lab,1
BT-308T,Blockchain Technology,3
BT-308P,Blockchain Technology Lab,1
BT-413T,Bitcoin and Cryptocurrency Technologies,3
BT-413P,Bitcoin and Cryptocurrency Technologies Lab,1
BT-415T,Smart Contracts,3
BT-415P,Smart Contracts Lab,1
BT-417T,Blockchain for Cyber Security,3
BT-417P,Blockchain for Cyber Security Lab,1
BT-419T,Blockchain Technology in Web Development,3
BT-419P,Blockchain Technology in Web Development Lab,1
IOT-324T,Introduction to Internet of Things,3
IOT-324P,Introduction to Internet of Things Lab,1
IOT-326T,Introduction to Sensors and Transducers,3
IOT-326P,Introduction to Sensors and Transducers Lab,1
ES-328T,Embedded Linux,3
ES-328P,Embedded Linux Lab,1
IOT-330T,Programming in Python,3
IOT-330P,Programming in Python Lab,1
IOT-332T,Wireless Sensor Networks,3
IOT-332P,Wireless Sensor Networks Lab,1
CS-423T,Cyber Security and Forensics,3
CS-423P,Cyber Security and Forensics Lab,1
IOT-441T,"IoT with Arduino, ESP and Raspberry Pi",3
IOT-441P,"IoT with Arduino, ESP and Raspberry Pi Lab",1
IOT-443T,Design of Smart Systems,3
IOT-443P,Design of Smart Systems Lab,1
IOT-445T,Internet of Things Industrial and Medical Case Studies,3
IOT-445P,Internet of Things Industrial and Medical Case Studies Lab,1
IOT-447T,Internet of Things Frameworks,3
IOT-447P,Internet of Things Frameworks Lab,1
IOT-449,Privacy and Security issues in IoT,4
NET-344T,Advanced Computer Networks and Administration,3
NET-344P,Advanced Computer Networks and Administration Lab,1
NET-346T,Linux System Administration,3
NET-346P,Linux System Administration Lab,1
NET-471T,Network Programming,3
NET-471P,Network Programming Lab,1
NET-473T,Cloud Computing and Security,3
NET-473P,Cloud Computing and Security Lab,1
NET-475T,Wireless Sensor Networks,3
NET-475P,Wireless Sensor Networks Lab,1
CS-310T,Information Theory and Coding,3
CS-310P,Information Theory and Coding Lab,1
CS-312T,Network Security and Cryptography,3
CS-312P,Network Security and Cryptography Lab,1
CS-314T,Network Security Issues and Challenges,3
CS-314P,Network Security Issues and Challenges Lab,1
CS-421T,Cyber Crime and Cyber Laws,3
CS-421P,Cyber Crime and Cyber Laws Lab,1
CS-425T,Ethical Hacking,3
CS-425P,Ethical Hacking Lab,1
ML-348T,Artificial Neural Networks and Deep Learning,3
ML-348P,Artificial Neural Networks and Deep Learning Lab,1
SC-477T,Fuzzy Systems and Applications,3
SC-477P,Fuzzy Systems and Applications Lab,1
SC-479T,Global Optimization Methods,3
SC-479P,Global Optimization Methods Lab,1
SC-481T,Soft Computing and Expert Systems,3
SC-481P,Soft Computing and Expert Systems Lab,1
DA-338T,Data Analytics,3
DA-338P,Data Analytics Lab,1
DS-340T,Data Visualization,3
DS-340P,Data Visualization Lab,1
ML-342T,Machine Learning,3
ML-342P,Machine Learning Lab,1
ML-463T,Supervised and Deep Learning,3
ML-463P,Supervised and Deep Learning Lab,1
ML-465T,Unsupervised Learning,3
ML-465P,Unsupervised Learning Lab,1
ML-467T,Machine Learning and Data Analytics Case Studies,3
ML-467P,Machine Learning and Data Analytics Case Studies Lab,1
ML-469T,Machine Learning and Data Analytics Frameworks,3
ML-469P,Machine Learning and Data Analytics Frameworks Lab,1
SE-350T,"Software Measurements, Metrics and Modelling",3
SE-350P,"Software Measurements, Metrics and Modelling Lab",1
SE-352T,Service Oriented Architecture,3
SE-352P,Service Oriented Architecture Lab,1
SE-354T,Software Project Management,3
SE-354P,Software Project Management Lab,1
SE-483T,Mining Software Repositories and Predictive Modelling,3
SE-483P,Mining Software Repositories and Predictive Modelling Lab,1
SE-485,Software Security,4
SE-487T,"Software Verification, Validation and Testing",3
SE-487P,"Software Verification, Validation and Testing Lab",1
SE-489,Software Engineering Standards,4
FSD-318T,Advanced Java Programming,3
FSD-318P,Advanced Java Programming Lab,1
FSD-320T,Web Development using MEAN Stack,3
FSD-320P,Web Development using MEAN Stack Lab,1
FSD-322T,Web Development using MERN Stack,3
FSD-322P,Web Development using MERN Stack Lab,1
FSD-435T,PHP Programming and MySQL,3
FSD-435P,PHP Programming and MySQL Lab,1
FSD-437T,Mobile App Development,3
FSD-437P,Mobile App Development Lab,1
FSD-439T,Web and Mobile Application Testing and Deployment,3
FSD-439P,Web and Mobile Application Testing and Deployment Lab,1
IPCV-334T,Digital Image Processing,3
IPCV-334P,Digital Image Processing Lab,1
IPCV-356T,Digital Signal and Image Processing,3
IPCV-356P,Digital Signal and Image Processing Lab,1
IPCV-336T,Pattern Recognition,3
IPCV-336P,Pattern Recognition Lab,1
IPCV-451T,Computer Vision,3
IPCV-451P,Computer Vision Lab,1
IPCV-453T,Biometrics,3
IPCV-453P,Biometrics Lab,1
IPCV-455T,"Medical Image Processing, Analysis and Reconstruction",3
IPCV-455P,"Medical Image Processing, Analysis and Reconstruction Lab",1
IPCV-457T,Remote Sensing Image Analysis and Classification,3
IPCV-457P,Remote Sensing Image Analysis and Classification Lab,1
IPCV-459T,Deep Learning for Image Processing and Computer Vision,3
IPCV-459P,Deep Learning for Image Processing and Computer Vision Lab,1
IPCV-461T,Machine Learning for Image and Vision Analysis,3
IPCV-461P,Machine Learning for Image and Vision Analysis Lab,1
RA-324T,Robot Kinematics and Dynamics,3
RA-324P,Robot Kinematics and Dynamics Lab,1
RA-437T,Robot Actuation Systems,3
RA-437P,Robot Actuation Systems Lab,1
RA-439T,Control Hardware and Interfacing,3
RA-439P,Control Hardware and Interfacing Lab,1
RA-441T,AI in Robotics,3
RA-441P,AI in Robotics Lab,1
ES-302T,Microprocessors and Interfacing,3
ES-302P,Microprocessors and Interfacing Lab,1
ES-308T,Introduction to Data Communication and Networking,3
ES-308P,Introduction to Data Communication and Networking Lab,1
ES-310T,Advanced Microprocessors (ARM) & Interfacing,3
ES-310P,Advanced Microprocessors (ARM) & Interfacing Lab,1
ES-304,Real Time Operating Systems,4
ES-306T,Embedded System Architecture and Design,3
